Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1987","1987","tonnes","72056866","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1988","1988","tonnes","83818692","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1989","1989","tonnes","84819974","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1990","1990","tonnes","79381445","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1991","1991","tonnes","88915239.7032","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1992","1992","tonnes","74201202.7156","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1993","1993","tonnes","84179343.1796","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1994","1994","tonnes","93809772.6112","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1995","1995","tonnes","81539401.0196","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1996","1996","tonnes","106216275.9305","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1997","1997","tonnes","90507983.5287","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1998","1998","tonnes","97740861.9877","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1999","1999","tonnes","94003199.8126","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","2000","2000","tonnes","91400846.9463","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","2001","2001","tonnes","97375323.1686","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","2002","2002","tonnes","99426416.2573","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","2003","2003","tonnes","111513838.1677","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","2004","2004","tonnes","111701068.3997","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","2005","2005","tonnes","117600152.2253","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","2006","2006","tonnes","124556821.4312","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","2007","2007","tonnes","115102969.5956","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","2008","2008","tonnes","127025955.0377","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","2009","2009","tonnes","131950622.5734","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","2010","2010","tonnes","135737068.6497","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","2011","2011","tonnes","132410286.1947","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","2012","2012","tonnes","138733734.3538","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","2013","2013","tonnes","143440795.8571","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","2014","2014","tonnes","152619417.5443","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","2015","2015","tonnes","148909065.5704","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","2016","2016","tonnes","145814823.4916","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","2017","2017","tonnes","158318396.2757","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","27","Rice, paddy","1970","1970","kg CO2eq/kg product","1.6068","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","27","Rice, paddy","1971","1971","kg CO2eq/kg product","1.6196","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","27","Rice, paddy","1972","1972","kg CO2eq/kg product","1.6308","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","27","Rice, paddy","1973","1973","kg CO2eq/kg product","1.6246","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","27","Rice, paddy","1974","1974","kg CO2eq/kg product","1.576","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","27","Rice, paddy","1975","1975","kg CO2eq/kg product","1.5642","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","27","Rice, paddy","1976","1976","kg CO2eq/kg product","1.6362","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","27","Rice, paddy","1977","1977","kg CO2eq/kg product","1.6654","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","27","Rice, paddy","1978","1978","kg CO2eq/kg product","1.6324","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","27","Rice, paddy","1979","1979","kg CO2eq/kg product","1.645","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","27","Rice, paddy","1980","1980","kg CO2eq/kg product","1.6418","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","27","Rice, paddy","1981","1981","kg CO2eq/kg product","1.6792","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","27","Rice, paddy","1982","1982","kg CO2eq/kg product","1.6449","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","27","Rice, paddy","1983","1983","kg CO2eq/kg product","1.5659","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","27","Rice, paddy","1984","1984","kg CO2eq/kg product","1.5721","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","27","Rice, paddy","1985","1985","kg CO2eq/kg product","1.4954","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","27","Rice, paddy","1986","1986","kg CO2eq/kg product","1.492","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","27","Rice, paddy","1987","1987","kg CO2eq/kg product","1.4344","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","27","Rice, paddy","1988","1988","kg CO2eq/kg product","1.4697","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","27","Rice, paddy","1989","1989","kg CO2eq/kg product","1.3849","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","27","Rice, paddy","1990","1990","kg CO2eq/kg product","1.3598","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","27","Rice, paddy","1991","1991","kg CO2eq/kg product","1.3595","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","27","Rice, paddy","1992","1992","kg CO2eq/kg product","1.3545","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","27","Rice, paddy","1993","1993","kg CO2eq/kg product","1.3407","Fc","Calculated data"
